,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
51,0.0,1.0,1.0,1.0,1.0,True
52,0.0,1.0,1.0,1.0,1.0,True
53,0.0,1.0,0.0,1.0,1.0,True
54,0.0,1.0,0.0,0.0,1.0,True
55,0.0,1.0,0.0,0.0,1.0,True
56,0.0,1.0,1.0,0.0,1.0,True
57,0.0,1.0,1.0,1.0,1.0,True
58,0.0,1.0,1.0,1.0,1.0,True
59,0.0,1.0,1.0,1.0,1.0,True
60,0.0,1.0,0.0,1.0,1.0,True
61,0.0,1.0,1.0,0.0,1.0,True
62,0.0,1.0,1.0,1.0,1.0,True
63,0.0,1.0,1.0,1.0,1.0,True
64,0.0,1.0,1.0,1.0,1.0,True
65,0.0,1.0,1.0,1.0,1.0,True
66,0.0,1.0,1.0,1.0,1.0,True
67,0.0,1.0,1.0,1.0,1.0,True
68,0.0,1.0,1.0,1.0,1.0,True
69,0.0,1.0,1.0,1.0,1.0,True
70,0.0,1.0,1.0,1.0,1.0,True
71,0.0,1.0,0.0,1.0,1.0,True
72,0.0,1.0,1.0,0.0,1.0,True
73,0.0,1.0,1.0,1.0,1.0,True
74,0.0,1.0,1.0,1.0,1.0,True
75,0.0,1.0,1.0,1.0,1.0,True
76,0.0,1.0,0.0,1.0,1.0,True
77,0.0,1.0,1.0,0.0,1.0,True
78,0.0,1.0,1.0,1.0,1.0,True
79,0.0,1.0,0.0,1.0,1.0,True
80,0.0,1.0,1.0,0.0,1.0,True
81,0.0,1.0,0.0,1.0,1.0,True
82,0.0,1.0,1.0,0.0,1.0,True
83,0.0,1.0,1.0,1.0,1.0,True
84,0.0,1.0,1.0,1.0,1.0,True
85,0.0,0.0,0.0,1.0,1.0,True
86,0.0,0.0,1.0,0.0,0.0,True
87,0.0,1.0,1.0,1.0,0.0,True
88,0.0,1.0,1.0,1.0,1.0,True
89,0.0,1.0,1.0,1.0,1.0,True
90,0.0,0.0,0.0,1.0,1.0,True
91,0.0,0.0,0.0,0.0,0.0,True
92,0.0,1.0,1.0,0.0,0.0,True
93,0.0,0.0,0.0,1.0,1.0,True
94,0.0,0.0,0.0,0.0,0.0,True
95,0.0,1.0,0.0,0.0,0.0,True
96,0.0,0.0,0.0,0.0,1.0,True
97,0.0,1.0,0.0,0.0,0.0,True
98,0.0,1.0,1.0,0.0,1.0,True
99,0.0,1.0,1.0,1.0,1.0,True
100,0.0,1.0,0.0,1.0,1.0,True
101,0.0,0.0,1.0,0.0,1.0,True
102,0.0,1.0,0.0,1.0,0.0,True
103,0.0,0.0,0.0,0.0,1.0,True
104,0.0,1.0,0.0,0.0,0.0,True
105,0.0,1.0,0.0,0.0,1.0,True
106,0.0,1.0,0.0,0.0,1.0,True
107,0.0,0.0,1.0,0.0,1.0,True
108,0.0,1.0,0.0,1.0,0.0,True
109,0.0,1.0,0.0,0.0,1.0,True
110,0.0,1.0,0.0,0.0,1.0,True
111,0.0,1.0,0.0,0.0,1.0,True
112,0.0,1.0,1.0,0.0,1.0,True
113,0.0,0.0,1.0,1.0,1.0,True
114,0.0,1.0,0.0,1.0,0.0,True
115,0.0,0.0,0.0,0.0,1.0,True
116,0.0,1.0,0.0,0.0,0.0,True
117,0.0,1.0,0.0,0.0,1.0,True
118,0.0,1.0,0.0,0.0,1.0,True
119,1.0,1.0,1.0,0.0,1.0,False
120,0.0,1.0,0.0,1.0,1.0,False
121,0.0,1.0,0.0,0.0,1.0,True
122,0.0,0.0,1.0,0.0,1.0,True
123,0.0,0.0,1.0,1.0,0.0,True
124,0.0,1.0,1.0,1.0,0.0,True
125,0.0,1.0,0.0,1.0,1.0,True
126,0.0,1.0,0.0,0.0,1.0,True
127,0.0,0.0,1.0,0.0,1.0,True
128,0.0,1.0,0.0,1.0,0.0,True
129,0.0,1.0,0.0,0.0,1.0,True
130,0.0,0.0,1.0,0.0,1.0,True
131,0.0,1.0,0.0,1.0,0.0,True
132,0.0,0.0,1.0,0.0,1.0,True
133,0.0,1.0,1.0,1.0,0.0,True
134,0.0,1.0,1.0,1.0,1.0,True
135,0.0,1.0,1.0,1.0,1.0,True
136,0.0,1.0,0.0,1.0,1.0,True
137,0.0,1.0,1.0,0.0,1.0,True
138,0.0,1.0,0.0,1.0,1.0,True
139,0.0,1.0,1.0,0.0,1.0,True
140,0.0,1.0,1.0,1.0,1.0,True
141,0.0,1.0,0.0,1.0,1.0,True
142,0.0,1.0,0.0,0.0,1.0,True
143,0.0,1.0,0.0,0.0,1.0,True
144,0.0,1.0,0.0,0.0,1.0,True
145,0.0,1.0,1.0,0.0,1.0,True
146,0.0,1.0,0.0,1.0,1.0,True
147,0.0,0.0,1.0,0.0,1.0,True
148,0.0,1.0,0.0,1.0,0.0,True
149,0.0,0.0,1.0,0.0,1.0,True
150,0.0,1.0,0.0,1.0,0.0,True
151,0.0,0.0,1.0,0.0,1.0,True
152,0.0,1.0,1.0,1.0,0.0,True
153,0.0,1.0,0.0,1.0,1.0,True
154,0.0,1.0,0.0,0.0,1.0,True
155,0.0,1.0,1.0,0.0,1.0,True
156,0.0,1.0,0.0,1.0,1.0,True
157,0.0,1.0,0.0,0.0,1.0,True
158,0.0,1.0,0.0,0.0,1.0,True
159,0.0,1.0,0.0,0.0,1.0,True
160,0.0,0.0,1.0,0.0,1.0,True
161,0.0,1.0,0.0,1.0,0.0,True
162,0.0,0.0,1.0,0.0,1.0,True
163,0.0,0.0,1.0,1.0,0.0,True
164,0.0,1.0,1.0,1.0,0.0,True
165,0.0,1.0,0.0,1.0,1.0,True
166,0.0,1.0,1.0,0.0,1.0,True
167,0.0,1.0,0.0,1.0,1.0,True
168,0.0,1.0,0.0,0.0,1.0,True
169,0.0,1.0,0.0,0.0,1.0,True
170,0.0,1.0,0.0,0.0,1.0,True
171,0.0,0.0,0.0,0.0,1.0,True
172,0.0,1.0,0.0,0.0,0.0,True
173,0.0,1.0,1.0,0.0,1.0,True
174,0.0,0.0,1.0,1.0,1.0,True
175,0.0,1.0,0.0,1.0,0.0,True
176,0.0,1.0,1.0,0.0,1.0,True
177,0.0,1.0,1.0,1.0,1.0,True
178,0.0,1.0,0.0,1.0,1.0,True
179,0.0,1.0,0.0,0.0,1.0,True
180,0.0,1.0,1.0,0.0,1.0,True
181,0.0,0.0,0.0,1.0,1.0,True
182,0.0,1.0,0.0,0.0,0.0,True
183,0.0,1.0,0.0,0.0,1.0,True
184,0.0,1.0,0.0,0.0,1.0,True
185,0.0,1.0,0.0,0.0,1.0,True
186,0.0,1.0,0.0,0.0,1.0,True
187,0.0,1.0,0.0,0.0,1.0,True
188,0.0,1.0,0.0,0.0,1.0,True
189,0.0,1.0,0.0,0.0,1.0,True
190,0.0,1.0,0.0,0.0,1.0,True
191,0.0,1.0,1.0,0.0,1.0,True
192,0.0,1.0,0.0,1.0,1.0,True
193,0.0,1.0,0.0,0.0,1.0,True
194,0.0,1.0,1.0,0.0,1.0,True
195,0.0,1.0,0.0,1.0,1.0,True
196,0.0,1.0,0.0,0.0,1.0,True
197,0.0,1.0,0.0,0.0,1.0,True
198,0.0,1.0,1.0,0.0,1.0,True
199,0.0,0.0,1.0,1.0,1.0,True
200,0.0,1.0,1.0,1.0,0.0,True
201,0.0,1.0,1.0,1.0,1.0,True
202,0.0,1.0,0.0,1.0,1.0,True
203,0.0,1.0,1.0,0.0,1.0,True
204,0.0,1.0,1.0,1.0,1.0,True
205,0.0,1.0,0.0,1.0,1.0,True
206,0.0,1.0,1.0,0.0,1.0,True
207,0.0,1.0,1.0,1.0,1.0,True
208,0.0,1.0,0.0,1.0,1.0,True
209,0.0,1.0,1.0,0.0,1.0,True
210,0.0,0.0,0.0,1.0,1.0,True
211,0.0,1.0,1.0,0.0,0.0,True
212,0.0,1.0,1.0,1.0,1.0,True
213,0.0,1.0,1.0,1.0,1.0,True
214,0.0,0.0,0.0,1.0,1.0,True
215,0.0,1.0,1.0,0.0,0.0,True
216,0.0,0.0,0.0,1.0,1.0,True
217,0.0,1.0,1.0,0.0,0.0,True
218,0.0,0.0,1.0,1.0,1.0,True
219,0.0,1.0,1.0,1.0,0.0,True
220,0.0,1.0,0.0,1.0,1.0,True
221,0.0,1.0,1.0,0.0,1.0,True
222,0.0,1.0,0.0,1.0,1.0,True
223,0.0,1.0,0.0,0.0,1.0,True
224,0.0,1.0,0.0,0.0,1.0,True
225,0.0,1.0,0.0,0.0,1.0,True
226,0.0,1.0,1.0,0.0,1.0,True
227,0.0,1.0,0.0,1.0,1.0,True
228,0.0,1.0,1.0,0.0,1.0,True
229,0.0,1.0,1.0,1.0,1.0,True
230,0.0,0.0,0.0,1.0,1.0,True
231,1.0,1.0,0.0,0.0,0.0,False
232,1.0,0.0,1.0,0.0,1.0,True
233,0.0,1.0,1.0,1.0,0.0,False
234,0.0,0.0,0.0,1.0,1.0,True
235,0.0,1.0,0.0,0.0,0.0,True
236,0.0,1.0,1.0,0.0,1.0,True
237,0.0,1.0,1.0,1.0,1.0,True
238,0.0,1.0,1.0,1.0,1.0,True
239,0.0,0.0,0.0,1.0,1.0,True
240,0.0,1.0,0.0,0.0,0.0,True
241,0.0,1.0,0.0,0.0,1.0,True
242,0.0,0.0,1.0,0.0,1.0,True
243,0.0,1.0,1.0,1.0,0.0,True
244,0.0,1.0,1.0,1.0,1.0,True
245,0.0,1.0,1.0,1.0,1.0,True
246,0.0,0.0,1.0,1.0,1.0,True
247,0.0,1.0,0.0,1.0,0.0,True
248,0.0,1.0,1.0,0.0,1.0,True
249,0.0,1.0,1.0,1.0,1.0,True
250,0.0,1.0,1.0,1.0,1.0,True
251,0.0,0.0,0.0,1.0,1.0,True
252,0.0,1.0,1.0,0.0,0.0,True
253,0.0,1.0,1.0,1.0,1.0,True
254,0.0,1.0,1.0,1.0,1.0,True
255,0.0,1.0,1.0,1.0,1.0,True
256,0.0,1.0,1.0,1.0,1.0,True
257,0.0,1.0,1.0,1.0,1.0,True
258,0.0,1.0,1.0,1.0,1.0,True
259,0.0,1.0,1.0,1.0,1.0,True
260,0.0,1.0,1.0,1.0,1.0,True
261,0.0,1.0,0.0,1.0,1.0,True
262,0.0,1.0,1.0,0.0,1.0,True
263,0.0,1.0,1.0,1.0,1.0,True
264,0.0,1.0,1.0,1.0,1.0,True
265,0.0,1.0,1.0,1.0,1.0,True
266,0.0,1.0,1.0,1.0,1.0,True
267,0.0,1.0,1.0,1.0,1.0,True
268,0.0,1.0,1.0,1.0,1.0,True
269,0.0,0.0,0.0,1.0,1.0,True
270,0.0,1.0,1.0,0.0,0.0,True
271,0.0,1.0,1.0,1.0,1.0,True
272,0.0,1.0,1.0,1.0,1.0,True
273,0.0,0.0,0.0,1.0,1.0,True
274,0.0,1.0,1.0,0.0,0.0,True
275,0.0,1.0,1.0,1.0,1.0,True
276,0.0,1.0,1.0,1.0,1.0,True
277,0.0,1.0,1.0,1.0,1.0,True
278,0.0,1.0,0.0,1.0,1.0,True
279,0.0,0.0,0.0,0.0,1.0,True
280,0.0,1.0,1.0,0.0,0.0,True
281,0.0,1.0,1.0,1.0,1.0,True
282,0.0,1.0,1.0,1.0,1.0,True
283,0.0,1.0,0.0,1.0,1.0,True
284,0.0,1.0,1.0,0.0,1.0,True
285,0.0,1.0,1.0,1.0,1.0,True
286,0.0,0.0,1.0,1.0,1.0,True
287,0.0,1.0,1.0,1.0,0.0,True
288,0.0,1.0,1.0,1.0,1.0,True
289,0.0,1.0,1.0,1.0,1.0,True
290,0.0,1.0,1.0,1.0,1.0,True
291,0.0,1.0,1.0,1.0,1.0,True
292,0.0,1.0,1.0,1.0,1.0,True
293,0.0,1.0,1.0,1.0,1.0,True
294,0.0,1.0,1.0,1.0,1.0,True
295,0.0,1.0,1.0,1.0,1.0,True
296,0.0,1.0,1.0,1.0,1.0,True
297,0.0,1.0,1.0,1.0,1.0,True
298,0.0,1.0,1.0,1.0,1.0,True
299,0.0,1.0,0.0,1.0,1.0,True
300,0.0,1.0,0.0,0.0,1.0,True
301,0.0,1.0,0.0,0.0,1.0,True
302,0.0,1.0,0.0,0.0,1.0,True
303,0.0,1.0,0.0,0.0,1.0,True
304,0.0,1.0,0.0,0.0,1.0,True
305,0.0,0.0,0.0,0.0,1.0,True
306,0.0,1.0,0.0,0.0,0.0,True
307,0.0,1.0,1.0,0.0,1.0,True
308,0.0,1.0,0.0,1.0,1.0,True
309,0.0,1.0,0.0,0.0,1.0,True
310,0.0,1.0,0.0,0.0,1.0,True
311,0.0,1.0,0.0,0.0,1.0,True
312,0.0,1.0,0.0,0.0,1.0,True
313,0.0,1.0,0.0,0.0,1.0,True
314,0.0,1.0,0.0,0.0,1.0,True
315,0.0,1.0,1.0,0.0,1.0,True
316,0.0,1.0,0.0,1.0,1.0,True
317,0.0,0.0,0.0,0.0,1.0,True
318,0.0,1.0,0.0,0.0,0.0,True
319,0.0,1.0,0.0,0.0,1.0,True
320,0.0,1.0,1.0,0.0,1.0,True
321,0.0,1.0,0.0,1.0,1.0,True
322,0.0,1.0,0.0,0.0,1.0,True
323,0.0,1.0,0.0,0.0,1.0,True
324,0.0,0.0,1.0,0.0,1.0,True
325,0.0,1.0,0.0,1.0,0.0,True
326,0.0,1.0,1.0,0.0,1.0,True
327,0.0,1.0,0.0,1.0,1.0,True
328,0.0,1.0,0.0,0.0,1.0,True
329,0.0,0.0,1.0,0.0,1.0,True
330,0.0,1.0,1.0,1.0,0.0,True
331,0.0,1.0,1.0,1.0,1.0,True
332,0.0,1.0,1.0,1.0,1.0,True
333,0.0,1.0,0.0,1.0,1.0,True
334,0.0,1.0,0.0,0.0,1.0,True
335,0.0,1.0,1.0,0.0,1.0,True
336,0.0,1.0,0.0,1.0,1.0,True
337,0.0,1.0,0.0,0.0,1.0,True
338,0.0,1.0,0.0,0.0,1.0,True
339,0.0,1.0,1.0,0.0,1.0,True
340,0.0,0.0,0.0,1.0,1.0,True
341,0.0,1.0,0.0,0.0,0.0,True
342,0.0,1.0,1.0,0.0,1.0,True
343,0.0,1.0,0.0,1.0,1.0,True
344,0.0,0.0,1.0,0.0,1.0,True
345,0.0,0.0,1.0,1.0,0.0,True
346,0.0,1.0,0.0,1.0,0.0,True
347,0.0,1.0,0.0,0.0,1.0,True
348,0.0,1.0,0.0,0.0,1.0,True
349,0.0,0.0,1.0,0.0,1.0,True
350,1.0,1.0,1.0,1.0,0.0,False
351,0.0,1.0,0.0,1.0,1.0,False
352,1.0,1.0,1.0,0.0,1.0,False
353,1.0,1.0,1.0,1.0,1.0,True
354,1.0,1.0,1.0,1.0,1.0,True
355,1.0,1.0,0.0,1.0,1.0,True
356,1.0,1.0,0.0,0.0,1.0,True
357,1.0,1.0,1.0,0.0,1.0,True
358,1.0,0.0,0.0,1.0,1.0,True
359,1.0,1.0,1.0,0.0,0.0,True
360,1.0,0.0,0.0,1.0,1.0,True
361,1.0,1.0,1.0,0.0,0.0,True
362,1.0,1.0,1.0,1.0,1.0,True
363,1.0,1.0,1.0,1.0,1.0,True
364,1.0,0.0,0.0,1.0,1.0,True
365,1.0,0.0,0.0,0.0,0.0,True
366,1.0,1.0,1.0,0.0,0.0,True
367,1.0,1.0,1.0,1.0,1.0,True
368,1.0,0.0,1.0,1.0,1.0,True
369,1.0,1.0,0.0,1.0,0.0,True
370,1.0,0.0,0.0,0.0,1.0,True
371,1.0,1.0,1.0,0.0,0.0,True
372,1.0,1.0,1.0,1.0,1.0,True
373,1.0,1.0,1.0,1.0,1.0,True
374,1.0,1.0,1.0,1.0,1.0,True
375,1.0,1.0,1.0,1.0,1.0,True
376,1.0,0.0,0.0,1.0,1.0,True
377,1.0,1.0,1.0,0.0,0.0,True
378,1.0,1.0,1.0,1.0,1.0,True
379,1.0,1.0,1.0,1.0,1.0,True
380,1.0,1.0,1.0,1.0,1.0,True
381,1.0,1.0,1.0,1.0,1.0,True
382,1.0,1.0,1.0,1.0,1.0,True
383,1.0,0.0,0.0,1.0,1.0,True
384,1.0,1.0,1.0,0.0,0.0,True
385,1.0,1.0,1.0,1.0,1.0,True
386,1.0,1.0,1.0,1.0,1.0,True
387,1.0,0.0,1.0,1.0,1.0,True
388,1.0,1.0,1.0,1.0,0.0,True
389,1.0,0.0,0.0,1.0,1.0,True
390,1.0,1.0,1.0,0.0,0.0,True
391,1.0,0.0,0.0,1.0,1.0,True
392,1.0,0.0,0.0,0.0,0.0,True
393,1.0,1.0,1.0,0.0,0.0,True
394,1.0,1.0,0.0,1.0,1.0,True
395,1.0,1.0,1.0,0.0,1.0,True
396,1.0,1.0,1.0,1.0,1.0,True
397,1.0,1.0,1.0,1.0,1.0,True
398,1.0,1.0,1.0,1.0,1.0,True
399,1.0,1.0,1.0,1.0,1.0,True
